X(a.u.) LDys_val LD*X Y(a.u.) LDys_val LD*Y Z(a.u.) LDys_val LD*Z 
-1.889726E+01 6.764091E-13 -1.278228E-11 -1.889726E+01 -5.008332E-30 9.464376E-29 -1.889726E+01 -5.008332E-30 9.464376E-29
-1.870829E+01 1.129862E-12 -2.113779E-11 -1.870829E+01 -8.450338E-30 1.580913E-28 -1.870829E+01 -8.450338E-30 1.580913E-28
-1.851931E+01 1.877216E-12 -3.476475E-11 -1.851931E+01 -1.418312E-29 2.626617E-28 -1.851931E+01 -1.418312E-29 2.626617E-28
-1.833034E+01 3.102232E-12 -5.686498E-11 -1.833034E+01 -2.368025E-29 4.340671E-28 -1.833034E+01 -2.368025E-29 4.340671E-28
-1.814137E+01 5.099235E-12 -9.250711E-11 -1.814137E+01 -3.932942E-29 7.134895E-28 -1.814137E+01 -3.932942E-29 7.134895E-28
-1.795240E+01 8.336916E-12 -1.496676E-10 -1.795240E+01 -6.497788E-29 1.166509E-27 -1.795240E+01 -6.497788E-29 1.166509E-27
-1.776342E+01 1.355734E-11 -2.408248E-10 -1.776342E+01 -1.067899E-28 1.896955E-27 -1.776342E+01 -1.067899E-28 1.896955E-27
-1.757445E+01 2.192861E-11 -3.853834E-10 -1.757445E+01 -1.745870E-28 3.068271E-27 -1.757445E+01 -1.745870E-28 3.068271E-27
-1.738548E+01 3.527885E-11 -6.133397E-10 -1.738548E+01 -2.839293E-28 4.936248E-27 -1.738548E+01 -2.839293E-28 4.936248E-27
-1.719651E+01 5.645249E-11 -9.707856E-10 -1.719651E+01 -4.593306E-28 7.898882E-27 -1.719651E+01 -4.593306E-28 7.898882E-27
-1.700753E+01 8.984959E-11 -1.528120E-09 -1.700753E+01 -7.391921E-28 1.257183E-26 -1.700753E+01 -7.391921E-28 1.257183E-26
-1.681856E+01 1.422369E-10 -2.392220E-09 -1.681856E+01 -1.183330E-27 1.990191E-26 -1.681856E+01 -1.183330E-27 1.990191E-26
-1.662959E+01 2.239600E-10 -3.724362E-09 -1.662959E+01 -1.884393E-27 3.133668E-26 -1.662959E+01 -1.884393E-27 3.133668E-26
-1.644062E+01 3.507432E-10 -5.766434E-09 -1.644062E+01 -2.985064E-27 4.907629E-26 -1.644062E+01 -2.985064E-27 4.907629E-26
-1.625164E+01 5.463456E-10 -8.879013E-09 -1.625164E+01 -4.703841E-27 7.644515E-26 -1.625164E+01 -4.703841E-27 7.644515E-26
-1.606267E+01 8.464546E-10 -1.359632E-08 -1.606267E+01 -7.373411E-27 1.184367E-25 -1.606267E+01 -7.373411E-27 1.184367E-25
-1.587370E+01 1.304357E-09 -2.070497E-08 -1.587370E+01 -1.149744E-26 1.825068E-25 -1.587370E+01 -1.149744E-26 1.825068E-25
-1.568473E+01 1.999147E-09 -3.135607E-08 -1.568473E+01 -1.783406E-26 2.797224E-25 -1.568473E+01 -1.783406E-26 2.797224E-25
-1.549575E+01 3.047520E-09 -4.722362E-08 -1.549575E+01 -2.751797E-26 4.264117E-25 -1.549575E+01 -2.751797E-26 4.264117E-25
-1.530678E+01 4.620624E-09 -7.072688E-08 -1.530678E+01 -4.223761E-26 6.465218E-25 -1.530678E+01 -4.223761E-26 6.465218E-25
-1.511781E+01 6.967953E-09 -1.053402E-07 -1.511781E+01 -6.449097E-26 9.749622E-25 -1.511781E+01 -6.449097E-26 9.749622E-25
-1.492884E+01 1.045102E-08 -1.560216E-07 -1.492884E+01 -9.795246E-26 1.462316E-24 -1.492884E+01 -9.795246E-26 1.462316E-24
-1.473986E+01 1.559048E-08 -2.298015E-07 -1.473986E+01 -1.479955E-25 2.181434E-24 -1.473986E+01 -1.479955E-25 2.181434E-24
-1.455089E+01 2.313159E-08 -3.365853E-07 -1.455089E+01 -2.224326E-25 3.236593E-24 -1.455089E+01 -2.224326E-25 3.236593E-24
-1.436192E+01 3.413463E-08 -4.902387E-07 -1.436192E+01 -3.325564E-25 4.776147E-24 -1.436192E+01 -3.325564E-25 4.776147E-24
-1.417294E+01 5.009869E-08 -7.100460E-07 -1.417294E+01 -4.945940E-25 7.009853E-24 -1.417294E+01 -4.945940E-25 7.009853E-24
-1.398397E+01 7.313026E-08 -1.022652E-06 -1.398397E+01 -7.317270E-25 1.023245E-23 -1.398397E+01 -7.317270E-25 1.023245E-23
-1.379500E+01 1.061709E-07 -1.464627E-06 -1.379500E+01 -1.076877E-24 1.485552E-23 -1.379500E+01 -1.076877E-24 1.485552E-23
-1.360603E+01 1.533024E-07 -2.085836E-06 -1.360603E+01 -1.576522E-24 2.145020E-23 -1.360603E+01 -1.576522E-24 2.145020E-23
-1.341705E+01 2.201533E-07 -2.953809E-06 -1.341705E+01 -2.295888E-24 3.080405E-23 -1.341705E+01 -2.295888E-24 3.080405E-23
-1.322808E+01 3.144361E-07 -4.159386E-06 -1.322808E+01 -3.325968E-24 4.399617E-23 -1.322808E+01 -3.325968E-24 4.399617E-23
-1.303911E+01 4.466503E-07 -5.823922E-06 -1.303911E+01 -4.792942E-24 6.249570E-23 -1.303911E+01 -4.792942E-24 6.249570E-23
-1.285014E+01 6.309985E-07 -8.108418E-06 -1.285014E+01 -6.870734E-24 8.828987E-23 -1.285014E+01 -6.870734E-24 8.828987E-23
-1.266116E+01 8.865678E-07 -1.122498E-05 -1.266116E+01 -9.797626E-24 1.240494E-22 -1.266116E+01 -9.797626E-24 1.240494E-22
-1.247219E+01 1.238841E-06 -1.545106E-05 -1.247219E+01 -1.389810E-23 1.733397E-22 -1.247219E+01 -1.389810E-23 1.733397E-22
-1.228322E+01 1.721616E-06 -2.114699E-05 -1.228322E+01 -1.961131E-23 2.408900E-22 -1.228322E+01 -1.961131E-23 2.408900E-22
-1.209425E+01 2.379419E-06 -2.877728E-05 -1.209425E+01 -2.752800E-23 3.329304E-22 -1.209425E+01 -2.752800E-23 3.329304E-22
-1.190527E+01 3.270516E-06 -3.893639E-05 -1.190527E+01 -3.843788E-23 4.576135E-22 -1.190527E+01 -3.843788E-23 4.576135E-22
-1.171630E+01 4.470633E-06 -5.237929E-05 -1.171630E+01 -5.339014E-23 6.255350E-22 -1.171630E+01 -5.339014E-23 6.255350E-22
-1.152733E+01 6.077508E-06 -7.005744E-05 -1.152733E+01 -7.376994E-23 8.503703E-22 -1.152733E+01 -7.376994E-23 8.503703E-22
-1.133836E+01 8.216410E-06 -9.316059E-05 -1.133836E+01 -1.013945E-22 1.149647E-21 -1.133836E+01 -1.013945E-22 1.149647E-21
-1.114938E+01 1.104676E-05 -1.231645E-04 -1.114938E+01 -1.386330E-22 1.545672E-21 -1.114938E+01 -1.386330E-22 1.545672E-21
-1.096041E+01 1.476997E-05 -1.618849E-04 -1.096041E+01 -1.885537E-22 2.066627E-21 -1.096041E+01 -1.885537E-22 2.066627E-21
-1.077144E+01 1.963866E-05 -2.115366E-04 -1.077144E+01 -2.551060E-22 2.747858E-21 -1.077144E+01 -2.551060E-22 2.747858E-21
-1.058247E+01 2.596732E-05 -2.747983E-04 -1.058247E+01 -3.433388E-22 3.633371E-21 -1.058247E+01 -3.433388E-22 3.633371E-21
-1.039349E+01 3.414451E-05 -3.548807E-04 -1.039349E+01 -4.596655E-22 4.777530E-21 -1.039349E+01 -4.596655E-22 4.777530E-21
-1.020452E+01 4.464653E-05 -4.555965E-04 -1.020452E+01 -6.121779E-22 6.246982E-21 -1.020452E+01 -6.121779E-22 6.246982E-21
-1.001555E+01 5.805270E-05 -5.814296E-04 -1.001555E+01 -8.110175E-22 8.122785E-21 -1.001555E+01 -8.110175E-22 8.122785E-21
-9.826575E+00 7.506185E-05 -7.376009E-04 -9.826575E+00 -1.068808E-21 1.050272E-20 -9.826575E+00 -1.068808E-21 1.050272E-20
-9.637603E+00 9.650998E-05 -9.301248E-04 -9.637603E+00 -1.401154E-21 1.350376E-20 -9.637603E+00 -1.401154E-21 1.350376E-20
-9.448630E+00 1.233886E-04 -1.165853E-03 -9.448630E+00 -1.827211E-21 1.726464E-20 -9.448630E+00 -1.827211E-21 1.726464E-20
-9.259657E+00 1.568631E-04 -1.452499E-03 -9.259657E+00 -2.370328E-21 2.194843E-20 -9.259657E+00 -2.370328E-21 2.194843E-20
-9.070685E+00 1.982909E-04 -1.798634E-03 -9.070685E+00 -3.058759E-21 2.774504E-20 -9.070685E+00 -3.058759E-21 2.774504E-20
-8.881712E+00 2.492374E-04 -2.213654E-03 -8.881712E+00 -3.926440E-21 3.487351E-20 -8.881712E+00 -3.926440E-21 3.487351E-20
-8.692740E+00 3.114900E-04 -2.707701E-03 -8.692740E+00 -5.013834E-21 4.358395E-20 -8.692740E+00 -5.013834E-21 4.358395E-20
-8.503767E+00 3.870681E-04 -3.291537E-03 -8.503767E+00 -6.368814E-21 5.415891E-20 -8.503767E+00 -6.368814E-21 5.415891E-20
-8.314794E+00 4.782274E-04 -3.976362E-03 -8.314794E+00 -8.047583E-21 6.691400E-20 -8.314794E+00 -8.047583E-21 6.691400E-20
-8.125822E+00 5.874576E-04 -4.773576E-03 -8.125822E+00 -1.011560E-20 8.219759E-20 -8.125822E+00 -1.011560E-20 8.219759E-20
-7.936849E+00 7.174723E-04 -5.694469E-03 -7.936849E+00 -1.264852E-20 1.003894E-19 -7.936849E+00 -1.264852E-20 1.003894E-19
-7.747877E+00 8.711886E-04 -6.749861E-03 -7.747877E+00 -1.573302E-20 1.218975E-19 -7.747877E+00 -1.573302E-20 1.218975E-19
-7.558904E+00 1.051698E-03 -7.949682E-03 -7.558904E+00 -1.946770E-20 1.471545E-19 -7.558904E+00 -1.946770E-20 1.471545E-19
-7.369931E+00 1.262226E-03 -9.302519E-03 -7.369931E+00 -2.396383E-20 1.766118E-19 -7.369931E+00 -2.396383E-20 1.766118E-19
-7.180959E+00 1.506090E-03 -1.081517E-02 -7.180959E+00 -2.934614E-20 2.107334E-19 -7.180959E+00 -2.934614E-20 2.107334E-19
-6.991986E+00 1.786648E-03 -1.249221E-02 -6.991986E+00 -3.575369E-20 2.499893E-19 -6.991986E+00 -3.575369E-20 2.499893E-19
-6.803014E+00 2.107264E-03 -1.433575E-02 -6.803014E+00 -4.334112E-20 2.948503E-19 -6.803014E+00 -4.334112E-20 2.948503E-19
-6.614041E+00 2.471298E-03 -1.634526E-02 -6.614041E+00 -5.228062E-20 3.457861E-19 -6.614041E+00 -5.228062E-20 3.457861E-19
-6.425068E+00 2.882138E-03 -1.851794E-02 -6.425068E+00 -6.276530E-20 4.032714E-19 -6.425068E+00 -6.276530E-20 4.032714E-19
-6.236096E+00 3.343335E-03 -2.084936E-02 -6.236096E+00 -7.501526E-20 4.678023E-19 -6.236096E+00 -7.501526E-20 4.678023E-19
-6.047123E+00 3.858853E-03 -2.333496E-02 -6.047123E+00 -8.928776E-20 5.399341E-19 -6.047123E+00 -8.928776E-20 5.399341E-19
-5.858151E+00 4.433534E-03 -2.597231E-02 -5.858151E+00 -1.058942E-19 6.203440E-19 -5.858151E+00 -1.058942E-19 6.203440E-19
-5.669178E+00 5.073822E-03 -2.876440E-02 -5.669178E+00 -1.252269E-19 7.099336E-19 -5.669178E+00 -1.252269E-19 7.099336E-19
-5.480205E+00 5.788826E-03 -3.172396E-02 -5.480205E+00 -1.478006E-19 8.099777E-19 -5.480205E+00 -1.478006E-19 8.099777E-19
-5.291233E+00 6.591798E-03 -3.487873E-02 -5.291233E+00 -1.743129E-19 9.223301E-19 -5.291233E+00 -1.743129E-19 9.223301E-19
-5.102260E+00 7.502028E-03 -3.827730E-02 -5.102260E+00 -2.057305E-19 1.049690E-18 -5.102260E+00 -2.057305E-19 1.049690E-18
-4.913288E+00 8.547143E-03 -4.199457E-02 -4.913288E+00 -2.434060E-19 1.195924E-18 -4.913288E+00 -2.434060E-19 1.195924E-18
-4.724315E+00 9.765638E-03 -4.613595E-02 -4.724315E+00 -2.892307E-19 1.366417E-18 -4.724315E+00 -2.892307E-19 1.366417E-18
-4.535342E+00 1.120936E-02 -5.083828E-02 -4.535342E+00 -3.458225E-19 1.568423E-18 -4.535342E+00 -3.458225E-19 1.568423E-18
-4.346370E+00 1.294546E-02 -5.626574E-02 -4.346370E+00 -4.167477E-19 1.811340E-18 -4.346370E+00 -4.167477E-19 1.811340E-18
-4.157397E+00 1.505718E-02 -6.259868E-02 -4.157397E+00 -5.067628E-19 2.106814E-18 -4.157397E+00 -5.067628E-19 2.106814E-18
-3.968425E+00 1.764278E-02 -7.001402E-02 -3.968425E+00 -6.220586E-19 2.468593E-18 -3.968425E+00 -6.220586E-19 2.468593E-18
-3.779452E+00 2.081187E-02 -7.865747E-02 -3.779452E+00 -7.704862E-19 2.912016E-18 -3.779452E+00 -7.704862E-19 2.912016E-18
-3.590479E+00 2.467948E-02 -8.861115E-02 -3.590479E+00 -9.617585E-19 3.453174E-18 -3.590479E+00 -9.617585E-19 3.453174E-18
-3.401507E+00 2.935911E-02 -9.986520E-02 -3.401507E+00 -1.207686E-18 4.107952E-18 -3.401507E+00 -1.207686E-18 4.107952E-18
-3.212534E+00 3.495967E-02 -1.123091E-01 -3.212534E+00 -1.522657E-18 4.891588E-18 -3.212534E+00 -1.522657E-18 4.891588E-18
-3.023562E+00 4.159505E-02 -1.257652E-01 -3.023562E+00 -1.924888E-18 5.820016E-18 -3.023562E+00 -1.924888E-18 5.820016E-18
-2.834589E+00 4.942006E-02 -1.400855E-01 -2.834589E+00 -2.439471E-18 6.914898E-18 -2.834589E+00 -2.439471E-18 6.914898E-18
-2.645616E+00 5.870719E-02 -1.553167E-01 -2.645616E+00 -3.104895E-18 8.214362E-18 -2.645616E+00 -3.104895E-18 8.214362E-18
-2.456644E+00 6.996728E-02 -1.718847E-01 -2.456644E+00 -3.985064E-18 9.789883E-18 -2.456644E+00 -3.985064E-18 9.789883E-18
-2.267671E+00 8.408430E-02 -1.906755E-01 -2.267671E+00 -5.188208E-18 1.176515E-17 -2.267671E+00 -5.188208E-18 1.176515E-17
-2.078699E+00 1.023808E-01 -2.128189E-01 -2.078699E+00 -6.891435E-18 1.432522E-17 -2.078699E+00 -6.891435E-18 1.432522E-17
-1.889726E+00 1.264920E-01 -2.390352E-01 -1.889726E+00 -9.365838E-18 1.769887E-17 -1.889726E+00 -9.365838E-18 1.769887E-17
-1.700753E+00 1.580208E-01 -2.687545E-01 -1.700753E+00 -1.300037E-17 2.211042E-17 -1.700753E+00 -1.300037E-17 2.211042E-17
-1.511781E+00 1.983748E-01 -2.998992E-01 -1.511781E+00 -1.836032E-17 2.775678E-17 -1.511781E+00 -1.836032E-17 2.775678E-17
-1.322808E+00 2.498172E-01 -3.304602E-01 -1.322808E+00 -2.642457E-17 3.495464E-17 -1.322808E+00 -2.642457E-17 3.495464E-17
-1.133836E+00 3.180339E-01 -3.605982E-01 -1.133836E+00 -3.924695E-17 4.449959E-17 -1.133836E+00 -3.924695E-17 4.449959E-17
-9.448630E-01 4.117340E-01 -3.890322E-01 -9.448630E-01 -6.097199E-17 5.761018E-17 -9.448630E-01 -6.097199E-17 5.761018E-17
-7.558904E-01 5.323285E-01 -4.023820E-01 -7.558904E-01 -9.853792E-17 7.448387E-17 -7.558904E-01 -9.853792E-17 7.448387E-17
-5.669178E-01 6.714799E-01 -3.806739E-01 -5.669178E-01 -1.657278E-16 9.395406E-17 -5.669178E-01 -1.657278E-16 9.395406E-17
-3.779452E-01 8.051317E-01 -3.042957E-01 -3.779452E-01 -2.980716E-16 1.126547E-16 -3.779452E-01 -2.980716E-16 1.126547E-16
-1.889726E-01 7.719923E-01 -1.458854E-01 -1.889726E-01 -5.716059E-16 1.080178E-16 -1.889726E-01 -5.716059E-16 1.080178E-16
0.000000E+00 -9.502205E-16 -0.000000E+00 0.000000E+00 -9.502205E-16 -0.000000E+00 0.000000E+00 -9.502205E-16 -0.000000E+00
1.889726E-01 -7.719923E-01 -1.458854E-01 1.889726E-01 -5.716059E-16 -1.080178E-16 1.889726E-01 -5.716059E-16 -1.080178E-16
3.779452E-01 -8.051317E-01 -3.042957E-01 3.779452E-01 -2.980716E-16 -1.126547E-16 3.779452E-01 -2.980716E-16 -1.126547E-16
5.669178E-01 -6.714799E-01 -3.806739E-01 5.669178E-01 -1.657278E-16 -9.395406E-17 5.669178E-01 -1.657278E-16 -9.395406E-17
7.558904E-01 -5.323285E-01 -4.023820E-01 7.558904E-01 -9.853792E-17 -7.448387E-17 7.558904E-01 -9.853792E-17 -7.448387E-17
9.448630E-01 -4.117340E-01 -3.890322E-01 9.448630E-01 -6.097199E-17 -5.761018E-17 9.448630E-01 -6.097199E-17 -5.761018E-17
1.133836E+00 -3.180339E-01 -3.605982E-01 1.133836E+00 -3.924695E-17 -4.449959E-17 1.133836E+00 -3.924695E-17 -4.449959E-17
1.322808E+00 -2.498172E-01 -3.304602E-01 1.322808E+00 -2.642457E-17 -3.495464E-17 1.322808E+00 -2.642457E-17 -3.495464E-17
1.511781E+00 -1.983748E-01 -2.998992E-01 1.511781E+00 -1.836032E-17 -2.775678E-17 1.511781E+00 -1.836032E-17 -2.775678E-17
1.700753E+00 -1.580208E-01 -2.687545E-01 1.700753E+00 -1.300037E-17 -2.211042E-17 1.700753E+00 -1.300037E-17 -2.211042E-17
1.889726E+00 -1.264920E-01 -2.390352E-01 1.889726E+00 -9.365838E-18 -1.769887E-17 1.889726E+00 -9.365838E-18 -1.769887E-17
2.078699E+00 -1.023808E-01 -2.128189E-01 2.078699E+00 -6.891435E-18 -1.432522E-17 2.078699E+00 -6.891435E-18 -1.432522E-17
2.267671E+00 -8.408430E-02 -1.906755E-01 2.267671E+00 -5.188208E-18 -1.176515E-17 2.267671E+00 -5.188208E-18 -1.176515E-17
2.456644E+00 -6.996728E-02 -1.718847E-01 2.456644E+00 -3.985064E-18 -9.789883E-18 2.456644E+00 -3.985064E-18 -9.789883E-18
2.645616E+00 -5.870719E-02 -1.553167E-01 2.645616E+00 -3.104895E-18 -8.214362E-18 2.645616E+00 -3.104895E-18 -8.214362E-18
2.834589E+00 -4.942006E-02 -1.400855E-01 2.834589E+00 -2.439471E-18 -6.914898E-18 2.834589E+00 -2.439471E-18 -6.914898E-18
3.023562E+00 -4.159505E-02 -1.257652E-01 3.023562E+00 -1.924888E-18 -5.820016E-18 3.023562E+00 -1.924888E-18 -5.820016E-18
3.212534E+00 -3.495967E-02 -1.123091E-01 3.212534E+00 -1.522657E-18 -4.891588E-18 3.212534E+00 -1.522657E-18 -4.891588E-18
3.401507E+00 -2.935911E-02 -9.986520E-02 3.401507E+00 -1.207686E-18 -4.107952E-18 3.401507E+00 -1.207686E-18 -4.107952E-18
3.590479E+00 -2.467948E-02 -8.861115E-02 3.590479E+00 -9.617585E-19 -3.453174E-18 3.590479E+00 -9.617585E-19 -3.453174E-18
3.779452E+00 -2.081187E-02 -7.865747E-02 3.779452E+00 -7.704862E-19 -2.912016E-18 3.779452E+00 -7.704862E-19 -2.912016E-18
3.968425E+00 -1.764278E-02 -7.001402E-02 3.968425E+00 -6.220586E-19 -2.468593E-18 3.968425E+00 -6.220586E-19 -2.468593E-18
4.157397E+00 -1.505718E-02 -6.259868E-02 4.157397E+00 -5.067628E-19 -2.106814E-18 4.157397E+00 -5.067628E-19 -2.106814E-18
4.346370E+00 -1.294546E-02 -5.626574E-02 4.346370E+00 -4.167477E-19 -1.811340E-18 4.346370E+00 -4.167477E-19 -1.811340E-18
4.535342E+00 -1.120936E-02 -5.083828E-02 4.535342E+00 -3.458225E-19 -1.568423E-18 4.535342E+00 -3.458225E-19 -1.568423E-18
4.724315E+00 -9.765638E-03 -4.613595E-02 4.724315E+00 -2.892307E-19 -1.366417E-18 4.724315E+00 -2.892307E-19 -1.366417E-18
4.913288E+00 -8.547143E-03 -4.199457E-02 4.913288E+00 -2.434060E-19 -1.195924E-18 4.913288E+00 -2.434060E-19 -1.195924E-18
5.102260E+00 -7.502028E-03 -3.827730E-02 5.102260E+00 -2.057305E-19 -1.049690E-18 5.102260E+00 -2.057305E-19 -1.049690E-18
5.291233E+00 -6.591798E-03 -3.487873E-02 5.291233E+00 -1.743129E-19 -9.223301E-19 5.291233E+00 -1.743129E-19 -9.223301E-19
5.480205E+00 -5.788826E-03 -3.172396E-02 5.480205E+00 -1.478006E-19 -8.099777E-19 5.480205E+00 -1.478006E-19 -8.099777E-19
5.669178E+00 -5.073822E-03 -2.876440E-02 5.669178E+00 -1.252269E-19 -7.099336E-19 5.669178E+00 -1.252269E-19 -7.099336E-19
