X(a.u.) RDys_val RD*X Y(a.u.) RDys_val RD*Y Z(a.u.) RDys_val RD*Z 
-1.889726E+01 5.900021E-13 -1.114942E-11 -1.889726E+01 -4.368549E-30 8.255361E-29 -1.889726E+01 -4.368549E-30 8.255361E-29
-1.870829E+01 9.855296E-13 -1.843757E-11 -1.870829E+01 -7.370860E-30 1.378962E-28 -1.870829E+01 -7.370860E-30 1.378962E-28
-1.851931E+01 1.637413E-12 -3.032377E-11 -1.851931E+01 -1.237132E-29 2.291083E-28 -1.851931E+01 -1.237132E-29 2.291083E-28
-1.833034E+01 2.705941E-12 -4.960083E-11 -1.833034E+01 -2.065525E-29 3.786177E-28 -1.833034E+01 -2.065525E-29 3.786177E-28
-1.814137E+01 4.447840E-12 -8.068991E-11 -1.814137E+01 -3.430533E-29 6.223457E-28 -1.814137E+01 -3.430533E-29 6.223457E-28
-1.795240E+01 7.271928E-12 -1.305485E-10 -1.795240E+01 -5.667736E-29 1.017495E-27 -1.795240E+01 -5.667736E-29 1.017495E-27
-1.776342E+01 1.182548E-11 -2.100609E-10 -1.776342E+01 -9.314820E-29 1.654631E-27 -1.776342E+01 -9.314820E-29 1.654631E-27
-1.757445E+01 1.912737E-11 -3.361531E-10 -1.757445E+01 -1.522846E-28 2.676319E-27 -1.757445E+01 -1.522846E-28 2.676319E-27
-1.738548E+01 3.077220E-11 -5.349894E-10 -1.738548E+01 -2.476592E-28 4.305673E-27 -1.738548E+01 -2.476592E-28 4.305673E-27
-1.719651E+01 4.924104E-11 -8.467738E-10 -1.719651E+01 -4.006540E-28 6.889850E-27 -1.719651E+01 -4.006540E-28 6.889850E-27
-1.700753E+01 7.837187E-11 -1.332912E-09 -1.700753E+01 -6.447649E-28 1.096586E-26 -1.700753E+01 -6.447649E-28 1.096586E-26
-1.681856E+01 1.240670E-10 -2.086629E-09 -1.681856E+01 -1.032167E-27 1.735957E-26 -1.681856E+01 -1.032167E-27 1.735957E-26
-1.662959E+01 1.953505E-10 -3.248598E-09 -1.662959E+01 -1.643673E-27 2.733361E-26 -1.662959E+01 -1.643673E-27 2.733361E-26
-1.644062E+01 3.059379E-10 -5.029808E-09 -1.644062E+01 -2.603741E-27 4.280711E-26 -1.644062E+01 -2.603741E-27 4.280711E-26
-1.625164E+01 4.765533E-10 -7.744775E-09 -1.625164E+01 -4.102955E-27 6.667976E-26 -1.625164E+01 -4.102955E-27 6.667976E-26
