Energy=0.100000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      0.000000      3.311301E-01     -1.578935E-02      3.153408E-01
      0.031416      3.311300E-01     -1.576598E-02      3.153640E-01
      0.062832      3.311296E-01     -1.569597E-02      3.154336E-01
      0.094248      3.311289E-01     -1.557960E-02      3.155493E-01
      0.125664      3.311279E-01     -1.541731E-02      3.157106E-01
      0.157080      3.311267E-01     -1.520976E-02      3.159169E-01
      0.188496      3.311252E-01     -1.495776E-02      3.161674E-01
      0.219911      3.311234E-01     -1.466231E-02      3.164611E-01
      0.251327      3.311214E-01     -1.432457E-02      3.167968E-01
      0.282743      3.311191E-01     -1.394588E-02      3.171732E-01
      0.314159      3.311166E-01     -1.352773E-02      3.175889E-01
      0.345575      3.311139E-01     -1.307177E-02      3.180422E-01
      0.376991      3.311110E-01     -1.257979E-02      3.185312E-01
      0.408407      3.311078E-01     -1.205375E-02      3.190541E-01
      0.439823      3.311045E-01     -1.149572E-02      3.196088E-01
      0.471239      3.311010E-01     -1.090790E-02      3.201931E-01
      0.502655      3.310973E-01     -1.029261E-02      3.208047E-01
      0.534071      3.310935E-01     -9.652272E-03      3.214413E-01
      0.565487      3.310896E-01     -8.989422E-03      3.221002E-01
      0.596903      3.310855E-01     -8.306674E-03      3.227788E-01
      0.628319      3.310813E-01     -7.606722E-03      3.234746E-01
      0.659734      3.310771E-01     -6.892327E-03      3.241848E-01
      0.691150      3.310727E-01     -6.166310E-03      3.249064E-01
      0.722566      3.310684E-01     -5.431536E-03      3.256368E-01
      0.753982      3.310640E-01     -4.690904E-03      3.263730E-01
      0.785398      3.310595E-01     -3.947338E-03      3.271122E-01
      0.816814      3.310551E-01     -3.203772E-03      3.278513E-01
      0.848230      3.310507E-01     -2.463140E-03      3.285875E-01
      0.879646      3.310463E-01     -1.728366E-03      3.293179E-01
      0.911062      3.310420E-01     -1.002349E-03      3.300396E-01
      0.942478      3.310377E-01     -2.879544E-04      3.307497E-01
      0.973894      3.310335E-01      4.119981E-04      3.314455E-01
      1.005310      3.310295E-01      1.094746E-03      3.321242E-01
      1.036726      3.310255E-01      1.757596E-03      3.327831E-01
      1.068142      3.310217E-01      2.397930E-03      3.334196E-01
      1.099557      3.310180E-01      3.013223E-03      3.340312E-01
      1.130973      3.310145E-01      3.601046E-03      3.346156E-01
      1.162389      3.310112E-01      4.159078E-03      3.351703E-01
      1.193805      3.310081E-01      4.685119E-03      3.356932E-01
      1.225221      3.310051E-01      5.177091E-03      3.361822E-01
      1.256637      3.310024E-01      5.633053E-03      3.366355E-01
      1.288053      3.309999E-01      6.051205E-03      3.370511E-01
      1.319469      3.309977E-01      6.429898E-03      3.374276E-01
      1.350885      3.309956E-01      6.767637E-03      3.377633E-01
      1.382301      3.309939E-01      7.063088E-03      3.380570E-01
      1.413717      3.309924E-01      7.315087E-03      3.383075E-01
      1.445133      3.309911E-01      7.522637E-03      3.385138E-01
      1.476549      3.309902E-01      7.684921E-03      3.386751E-01
      1.507964      3.309895E-01      7.801298E-03      3.387908E-01
      1.539380      3.309891E-01      7.871309E-03      3.388604E-01
      1.570796      3.309889E-01      7.894676E-03      3.388836E-01
      1.602212      3.309891E-01      7.871309E-03      3.388604E-01
      1.633628      3.309895E-01      7.801298E-03      3.387908E-01
      1.665044      3.309902E-01      7.684921E-03      3.386751E-01
      1.696460      3.309911E-01      7.522637E-03      3.385138E-01
      1.727876      3.309924E-01      7.315087E-03      3.383075E-01
      1.759292      3.309939E-01      7.063088E-03      3.380570E-01
      1.790708      3.309956E-01      6.767637E-03      3.377633E-01
      1.822124      3.309977E-01      6.429898E-03      3.374276E-01
      1.853540      3.309999E-01      6.051205E-03      3.370511E-01
      1.884956      3.310024E-01      5.633053E-03      3.366355E-01
      1.916372      3.310051E-01      5.177091E-03      3.361822E-01
      1.947787      3.310081E-01      4.685119E-03      3.356932E-01
      1.979203      3.310112E-01      4.159078E-03      3.351703E-01
      2.010619      3.310145E-01      3.601046E-03      3.346156E-01
      2.042035      3.310180E-01      3.013223E-03      3.340312E-01
      2.073451      3.310217E-01      2.397930E-03      3.334196E-01
      2.104867      3.310255E-01      1.757596E-03      3.327831E-01
      2.136283      3.310295E-01      1.094746E-03      3.321242E-01
      2.167699      3.310335E-01      4.119981E-04      3.314455E-01
      2.199115      3.310377E-01     -2.879544E-04      3.307497E-01
      2.230531      3.310420E-01     -1.002349E-03      3.300396E-01
